,Trips possible,Total travel time,Mean Travel time,Available paths,Unavailable paths,Trips impossible,Trips total,Nodes,Isolated nodes,Edges,Mean travel time (id. set)
"(589, 2251)",1910028.799310342,947315414.095525,495.9691782854657,6500077,192492,138819.2007001422,2048848,2587,0,5508,491.5402737001467
"(218, 206)",1909862.5105929712,948014535.2186081,496.3784198917387,6500077,192492,138985.4894174908,2048848,2587,0,5508,491.53457286508115
"(1463, 130)",1909862.5105929705,948335848.8553762,496.54665903721974,6500077,192492,138985.4894174915,2048848,2587,0,5508,491.5357412393104
"(214, 1409)",1909935.420730513,946606872.1778604,495.6224497977014,6497532,195037,138912.57927997815,2048848,2587,0,5508,491.5209581256338
"(2251, 218)",1911281.250916625,940752354.4477988,492.21031912316755,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(540, 17)",1910018.2492337527,945445673.1310959,494.9930051769835,6500077,192492,138829.750776732,2048848,2587,0,5508,491.4914125528389
"(130, 1794)",1911281.250916625,939746269.6894013,491.68392628699286,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(127, 128)",1910437.1827659642,945959712.1797508,495.1535285814391,6500077,192492,138410.81724448458,2048848,2587,0,5508,491.51912118759384
"(1413, 126)",1909182.1403868916,942591540.941672,493.71483265114654,6497527,195042,139665.85962357887,2048848,2587,0,5508,491.4812057997566
"(1409, 540)",1911281.250916625,941084338.5183511,492.38401625455157,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(18, 1977)",1909125.4430021502,944877443.9471685,494.9268511456868,6497527,195042,139722.5570083011,2048848,2587,0,5508,491.40060617353373
"(1762, 1851)",1909977.855376774,944240744.9941295,494.37261397350744,6500077,192492,138870.1446336846,2048848,2587,0,5508,491.52642077535745
"(1777, 314)",1911281.250916625,939582489.7114848,491.5982350901384,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(1543, 1777)",1911281.250916625,939466426.2132258,491.5375095960735,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(1039, 1038)",1910902.4676263686,939906358.520764,491.8651655143188,6502628,189941,137945.53238410372,2048848,2587,0,5508,491.5188838200714
"(49, 1040)",1911281.250916625,940125331.7879758,491.8822550773751,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(150, 153)",1906942.123352799,952635023.2235662,499.5615816323972,6474659,217910,141905.8766574327,2048848,2587,0,5508,491.3462050209862
"(1687, 35)",1910473.449527258,942863883.7223785,493.5236780996291,6500082,192487,138374.5504832378,2048848,2587,0,5508,491.46781466031547
"(1636, 159)",1911281.250916625,939442839.0364037,491.5251685673469,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(1638, 1342)",1911281.250916625,939459946.3332444,491.5341192630295,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(149, 150)",1910651.3832067493,941762359.2300752,492.9011998250904,6502623,189946,138196.61680372807,2048848,2587,0,5508,491.4855653303281
"(165, 160)",1911068.6728086157,939468414.2537472,491.5932261466307,6502623,189946,137779.32720186704,2048848,2587,0,5508,491.50754591456166
"(381, 331)",1911281.250916625,940112270.4985718,491.8754212901458,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(331, 1688)",1911281.250916625,940075769.8503196,491.856323813919,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(956, 957)",1911281.250916625,939763862.2555566,491.693130880062,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(957, 1256)",1911281.250916625,939683300.2320029,491.65098008539735,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(919, 920)",1911281.250916625,939449935.5688651,491.52888153866286,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(918, 919)",1911281.2509166247,939464892.8580338,491.53670733047744,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(941, 918)",1911281.2509166247,939476266.4595252,491.54265810380605,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(2392, 1717)",1911281.250916625,939682323.084491,491.65046883279575,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(1717, 2530)",1911281.250916625,939600330.4276155,491.60756951756616,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(146, 2515)",1910818.7848007232,941052340.0180647,492.4864395846966,6502628,189941,138029.21520973346,2048848,2587,0,5508,491.4906722701753
"(1827, 1794)",1911281.250916625,939949990.748896,491.7905150265606,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(576, 1222)",1911281.250916625,939675572.5098888,491.64693686982645,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(1742, 841)",1911281.2509166251,943054851.0943333,493.4150066307911,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(2201, 216)",1910803.2921476138,942293537.5883701,493.1400010983317,6502628,189941,138044.7078628532,2048848,2587,0,5508,491.51581911881726
"(1763, 233)",1911281.250916625,939917890.9891816,491.7737201358563,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(208, 2201)",1911281.250916625,942273616.1141369,493.0062572749223,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(209, 2201)",1911281.250916625,942030182.8674744,492.87889075231044,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(1402, 1401)",1911281.2509166251,940568432.9528698,492.1140896986174,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(515, 1402)",1911281.250916625,939928785.8814098,491.77942044407774,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(2201, 209)",1911281.250916625,941766422.8805075,492.7408890914662,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(2194, 2514)",1908827.9377854029,941901377.9716691,493.44488276112025,6500077,192492,140020.06222503356,2048848,2587,0,5508,491.4510785596033
"(281, 280)",1910570.5201288431,944352964.2656198,494.2779940946307,6500072,192497,138277.47988162274,2048848,2587,0,5508,491.45958540604136
"(1635, 12)",1911281.250916625,940895882.3668126,492.2854142557886,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(35, 36)",1911281.250916625,942040974.9135473,492.8845372504737,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(2514, 149)",1911281.250916625,939754879.3623211,491.6884309473696,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(38, 43)",1910931.1256004765,941188608.4919912,492.5287970262346,6502628,189941,137916.8744100014,2048848,2587,0,5508,491.50076467397736
"(43, 42)",1911281.250916625,941058698.4347237,492.37060112602717,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(516, 814)",1911281.250916625,939419016.0476881,491.5127041596601,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
"(1448, 588)",1911281.250916625,939722835.7773838,491.67166544782737,6505175,187394,137566.74909386475,2048848,2587,0,5508,491.51079783854084
